identifiant,section,element,selecteur_maquette,correspondant_v2,statut,proprietes_non_conformes
05.26,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 04 — flèche,a[href*='recevoir'] b,b équivalent,CONFORME,"re-mesuré directement : couleur rgb(109,49,242), font-weight 700 identiques — l'écart du référentiel initial (couleur rgb(215,201,255), font-weight 600) était un artefact d'appariement automatique (confondu avec la flèche du ticker), le seul écart réel (font-family Manrope→Inter) est corrigé par la cascade .v2-jesus-gateway"
06.01,06 - Grille catégories (Une Parole pour chaque besoin),Bloc titre de section — conteneur (dark-heading),.dark-heading,.v2-dark-heading équivalent,CONFORME,"re-vérifié : la classe partagée v2-section-heading a été remplacée par une classe dédiée v2-dark-heading (layout flex, distincte de la grille utilisée par [05]/[07]/[08]) — largeur/hauteur identiques (1180×114)"
06.02,06 - Grille catégories (Une Parole pour chaque besoin),Eyebrow « Quatre expressions de la Parole »,.dark-heading .eyebrow.light,.v2-eyebrow.light,CONFORME,re-mesuré avec l'outil d'extraction corrigé (capture désormais les éléments à contenu mixte texte+décoratif) : fontFamily/fontSize/fontWeight/lineHeight/letterSpacing/textTransform(uppercase)/couleur/dimensions (817×21) identiques
06.03,06 - Grille catégories (Une Parole pour chaque besoin),H2 « Une Parole pour chaque besoin »,.dark-heading h2,h2 équivalent,CONFORME,"corrigé : h2 déplacé hors de la classe partagée v2-section-heading (grid 1fr 1fr, qui écrasait sa largeur naturelle) vers v2-dark-heading (flex) — largeur 817px, hauteur 68px identiques désormais"
06.04,06 - Grille catégories (Une Parole pour chaque besoin),Lien « Toutes les publications » + flèche,.dark-heading a,lien équivalent,CONFORME,"re-vérifié directement : couleur rgb(199,182,245), poids 750, dimensions identiques — l'écart du référentiel initial était un artefact d'appariement automatique"
06.05,06 - Grille catégories (Une Parole pour chaque besoin),Grille catégories — conteneur (category-grid),.category-grid,.v2-category-grid,CONFORME,re-vérifié : hauteur 798px identique après corrections des cartes enfants
06.06,06 - Grille catégories (Une Parole pour chaque besoin),Carte catégorie 01 « Rosée Matinale » — conteneur,article.category-dew,article carte équivalente,CONFORME,"re-vérifié : min-height 390px, padding 34px restaurés (étaient 340/32) — dimensions identiques à la maquette"
06.07,06 - Grille catégories (Une Parole pour chaque besoin),Carte 01 — numéro « 01 »,article.category-dew .category-number,.v2-category-number,CONFORME,re-vérifié directement
06.08,06 - Grille catégories (Une Parole pour chaque besoin),Carte 01 — nom « Rosée Matinale »,article.category-dew .category-name,.v2-category-name,CONFORME,corrigé : margin-bottom 16px restauré (était 14px) — hauteur 33px identique
06.09,06 - Grille catégories (Une Parole pour chaque besoin),"Carte 01 — titre « Mieux penser, mieux choisir et mieux viv… »",article.category-dew h3,h3 équivalent,CONFORME,"corrigé : font-size 31px restauré (était 27px), margin-bottom 15px restauré (était 14px), letter-spacing fantôme retiré (héritage de la règle globale h1..h4, surchargé localement)"
06.10,06 - Grille catégories (Une Parole pour chaque besoin),Carte 01 — paragraphe descriptif,article.category-dew p,p équivalent,CONFORME,corrigé : max-width 500px et font-size 15px restaurés (étaient 480px/14px) ; ligne de base line-height 1.6 héritée de .v2-category-section
06.11,06 - Grille catégories (Une Parole pour chaque besoin),Carte 01 — lien « Lire la pensée du jour » + flèche,article.category-dew .arrow-link,lien équivalent,CONFORME,"corrigé : padding 11px 15px restauré (était 10px 14px), fond rgba(18,14,40,.16) au repos restauré (absent), margin-top 22px restauré (était 20px)"
06.12,06 - Grille catégories (Une Parole pour chaque besoin),Carte catégorie 02 « Que dit la Bible ? » — conteneur,article.category-bible,article carte équivalente,CONFORME,"re-vérifié : min-height 390px, padding 34px restaurés (étaient 340/32) — dimensions identiques à la maquette"
06.13,06 - Grille catégories (Une Parole pour chaque besoin),Carte 02 — numéro « 02 »,article.category-bible .category-number,.v2-category-number,CONFORME,re-vérifié directement
06.14,06 - Grille catégories (Une Parole pour chaque besoin),Carte 02 — nom « Que dit la Bible ? »,article.category-bible .category-name,.v2-category-name,CONFORME,corrigé : margin-bottom 16px restauré (était 14px) — hauteur 33px identique
06.15,06 - Grille catégories (Une Parole pour chaque besoin),"Carte 02 — titre « Dieu a dit, alors nous disons aussi… »",article.category-bible h3,h3 équivalent,CONFORME,"corrigé : font-size 31px restauré (était 27px), margin-bottom 15px restauré (était 14px), letter-spacing fantôme retiré (héritage de la règle globale h1..h4, surchargé localement)"
06.16,06 - Grille catégories (Une Parole pour chaque besoin),Carte 02 — paragraphe descriptif,article.category-bible p,p équivalent,CONFORME,corrigé : max-width 500px et font-size 15px restaurés (étaient 480px/14px) ; ligne de base line-height 1.6 héritée de .v2-category-section
06.17,06 - Grille catégories (Une Parole pour chaque besoin),Carte 02 — lien « Examiner les Écritures » + flèche,article.category-bible .arrow-link,lien équivalent,CONFORME,"corrigé : padding 11px 15px restauré (était 10px 14px), fond rgba(18,14,40,.16) au repos restauré (absent), margin-top 22px restauré (était 20px)"
06.18,06 - Grille catégories (Une Parole pour chaque besoin),Carte catégorie 03 « Je Confesse » — conteneur,article.category-confess,article carte équivalente,CONFORME,"re-vérifié : min-height 390px, padding 34px restaurés (étaient 340/32) — dimensions identiques à la maquette"
06.19,06 - Grille catégories (Une Parole pour chaque besoin),Carte 03 — numéro « 03 »,article.category-confess .category-number,.v2-category-number,CONFORME,re-vérifié directement
06.20,06 - Grille catégories (Une Parole pour chaque besoin),Carte 03 — nom « Je Confesse »,article.category-confess .category-name,.v2-category-name,CONFORME,corrigé : margin-bottom 16px restauré (était 14px) — hauteur 33px identique
06.21,06 - Grille catégories (Une Parole pour chaque besoin),Carte 03 — titre « La Parole de Dieu dans votre bouche.… »,article.category-confess h3,h3 équivalent,CONFORME,"corrigé : font-size 31px restauré (était 27px), margin-bottom 15px restauré (était 14px), letter-spacing fantôme retiré (héritage de la règle globale h1..h4, surchargé localement)"
06.22,06 - Grille catégories (Une Parole pour chaque besoin),Carte 03 — paragraphe descriptif,article.category-confess p,p équivalent,CONFORME,corrigé : max-width 500px et font-size 15px restaurés (étaient 480px/14px) ; ligne de base line-height 1.6 héritée de .v2-category-section
06.23,06 - Grille catégories (Une Parole pour chaque besoin),Carte 03 — lien « Découvrir Je Confesse » + flèche,article.category-confess .arrow-link,lien équivalent,CONFORME,"corrigé : padding 11px 15px restauré (était 10px 14px), fond rgba(18,14,40,.16) au repos restauré (absent), margin-top 22px restauré (était 20px)"
06.24,06 - Grille catégories (Une Parole pour chaque besoin),Carte catégorie 04 « La Vie Supérieure » — conteneur,article.category-life,article carte équivalente,CONFORME,"re-vérifié : min-height 390px, padding 34px restaurés (étaient 340/32) — dimensions identiques à la maquette"
06.25,06 - Grille catégories (Une Parole pour chaque besoin),Carte 04 — numéro « 04 »,article.category-life .category-number,.v2-category-number,CONFORME,re-vérifié directement
06.26,06 - Grille catégories (Une Parole pour chaque besoin),Carte 04 — nom « La Vie Supérieure »,article.category-life .category-name,.v2-category-name,CONFORME,corrigé : margin-bottom 16px restauré (était 14px) — hauteur 33px identique
06.27,06 - Grille catégories (Une Parole pour chaque besoin),Carte 04 — titre « Une connaissance destinée à devenir l’ex… »,article.category-life h3,h3 équivalent,CONFORME,"corrigé : font-size 31px restauré (était 27px), margin-bottom 15px restauré (était 14px), letter-spacing fantôme retiré (héritage de la règle globale h1..h4, surchargé localement)"
06.28,06 - Grille catégories (Une Parole pour chaque besoin),Carte 04 — paragraphe descriptif,article.category-life p,p équivalent,CONFORME,corrigé : max-width 500px et font-size 15px restaurés (étaient 480px/14px) ; ligne de base line-height 1.6 héritée de .v2-category-section
06.29,06 - Grille catégories (Une Parole pour chaque besoin),Carte 04 — lien « Entrer dans l’enseignement » + flèche,article.category-life .arrow-link,lien équivalent,CONFORME,"corrigé : padding 11px 15px restauré (était 10px 14px), fond rgba(18,14,40,.16) au repos restauré (absent), margin-top 22px restauré (était 20px)"
07.01,07 - Événements (events-grid),Bloc titre de section — conteneur (events-heading),.section-heading.events-heading,équivalent (classe modificatrice non isolable),CONFORME,"re-vérifié : hauteur 181px identique, margin-bottom 46px restauré localement (v2-events-section .v2-section-heading) sans toucher à la classe partagée"
07.02,07 - Événements (events-grid),Eyebrow « Agenda »,.events-heading .eyebrow,.v2-eyebrow,CONFORME,re-mesuré avec l'outil corrigé : textTransform uppercase/couleur/dimensions (550×21) identiques
07.03,07 - Événements (events-grid),H2 « Rencontres et conférences »,.events-heading h2,h2 équivalent,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée localement (v2-events-section .v2-section-heading h2), l'ancien --ink hérité du body l'emportait sur l'héritage — sans toucher à la classe partagée avec [05]/[08]"
07.04,07 - Événements (events-grid),Paragraphe d'intro de section,.events-heading > p,p équivalent,CONFORME,re-vérifié directement : couleur/font-size/line-height/largeur/hauteur identiques (550×59) — le statut initial provenait d'une troncature de comparaison
07.05,07 - Événements (events-grid),Grille événements — conteneur (events-grid),.events-grid,.v2-events-grid,CONFORME,"corrigé : hauteur 450px identique désormais (min-height/padding de .v2-next-event restaurés) — l'état vide des événements passés reste un état lié à la donnée, non un défaut de code"
07.06,07 - Événements (events-grid),Carte « Prochain rendez-vous » — conteneur,article.next-event,.v2-next-event,CONFORME,"corrigé : min-height 450px, padding 38px restaurés (étaient 420/36) ; cercle décoratif ::after restauré (270→320px etc.)"
07.07,07 - Événements (events-grid),Kicker « Prochain rendez-vous »,.event-kicker,.v2-event-kicker,CONFORME,corrigé : font-family Inter hérité de .v2-events-section
07.08,07 - Événements (events-grid),Date événement — « À venir »,.event-date strong,.v2-event-date strong,CONFORME,"corrigé : font-size 46px restauré (était 42px), margin-top 45px restauré sur le conteneur (était 40px)"
07.09,07 - Événements (events-grid),Date événement — sous-texte,.event-date span,.v2-event-date span,CONFORME,corrigé : font-family Inter hérité
07.10,07 - Événements (events-grid),Corps événement — « Conférence »,.event-body p,.v2-event-body p,CONFORME,corrigé : font-family Inter hérité
07.11,07 - Événements (events-grid),Corps événement — titre « La Vie Supérieure »,.event-body h3,.v2-event-body h3,CONFORME,"corrigé : font-size 38px restauré (était 34px), letter-spacing fantôme retiré"
07.12,07 - Événements (events-grid),Corps événement — description,.event-body span,.v2-event-body span,CONFORME,"corrigé : max-width 470px restauré (était 450px), font-family Inter hérité"
07.13,07 - Événements (events-grid),Lien « Découvrir le site de l'événement » + flèche,article.next-event > a,lien équivalent,CONFORME,corrigé : margin-top 26px restauré (était 24px) ; line-height hérité de la section — hauteur identique désormais
07.14,07 - Événements (events-grid),Bloc événements passés — conteneur,.past-events,.v2-past-events (état vide),ABSENT,"confirmé : rendu en état vide (« Les premiers événements passés apparaîtront ici. ») — cause : table Supabase events sans lignes saisies, pas un défaut de code. Aucune donnée fabriquée pour combler cet écart, conformément à la consigne. Éléments de style .v2-past-events/.v2-past-event/.micro-label corrigés en prévision (padding 38px, min-height 134px, colonnes 105px 1fr auto, gap 20px, bordure top/bottom, strong non forcé en 500 (était 500, doit être gras par défaut, 20px), couleur/taille du micro-label « À revivre » restaurées, span décoratif erroné retiré)."
07.15,07 - Événements (events-grid),Micro-label « À revivre »,.past-events .micro-label,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.16,07 - Événements (events-grid),Événement passé 1 — date,.past-event:nth-child(2) time,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.17,07 - Événements (events-grid),Événement passé 1 — titre,.past-event:nth-child(2) strong,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.18,07 - Événements (events-grid),Événement passé 1 — lieu,.past-event:nth-child(2) span,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.19,07 - Événements (events-grid),Événement passé 1 — flèche,.past-event:nth-child(2) b,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.20,07 - Événements (events-grid),Événement passé 2 — date,.past-event:nth-child(3) time,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.21,07 - Événements (events-grid),Événement passé 2 — titre,.past-event:nth-child(3) strong,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.22,07 - Événements (events-grid),Événement passé 2 — lieu,.past-event:nth-child(3) span,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
07.23,07 - Événements (events-grid),Événement passé 2 — flèche,.past-event:nth-child(3) b,—,ABSENT,"absent du rendu V2 — état lié à la donnée (aucun événement passé saisi en base), non un défaut d'interface. CSS de .v2-past-event corrigée par ailleurs (min-height 134px, colonnes 105px, gap 20px, bordures, strong non forcé en 500) pour le jour où des données existeront."
08.01,08 - Livres (books-grid),Bloc titre de section — conteneur (books-heading),.section-heading.books-heading,équivalent (classe modificatrice non isolable),CONFORME,"re-vérifié : classe partagée v2-section-heading correctement utilisée ici (structure grid conforme à la maquette, contrairement à [06])"
08.02,08 - Livres (books-grid),Eyebrow « amDG Éditions »,.books-heading .eyebrow,.v2-eyebrow,CONFORME,"BUG RÉEL CORRIGÉ : classe v2-brand-case ajoutée (équivalent de .brand-case de la maquette), text-transform:none restauré sur ce badge précis uniquement — la règle générale uppercase des autres eyebrows n'a pas été touchée. Ce badge n'avait jamais été mesuré par l'ancien outil (élément à contenu mixte texte+span décoratif, exclu par le test isLeaf() d'origine) ; capturé et vérifié conforme avec l'outil corrigé (550×21, textTransform none des deux côtés)."
08.03,08 - Livres (books-grid),H2 « Dernières parutions » (avec em),.books-heading h2,h2 équivalent,CONFORME,"re-mesuré avec l'outil corrigé (le h2 contient un <em>, contenu mixte) : Georgia/64px/500/lineHeight 67.84px/letterSpacing -2.24px/couleur rgb(23,20,45)/550×68 identiques"
08.03b,08 - Livres (books-grid),H2 — em « parutions »,.books-heading h2 em,em équivalent,CONFORME,"corrigé : couleur rgb(109,49,242) (violet) restaurée sur l'em « parutions » (règle dédiée ajoutée, était rgb(27,23,48) hérité de l'ancien --ink)"
08.04,08 - Livres (books-grid),Lien « Voir tout le catalogue » + flèche,.catalogue-link,lien équivalent,CONFORME,"corrigé en profondeur : lien remplacé par une vraie classe v2-catalogue-link (au lieu d'un style inline) — couleur rgb(23,20,45) restaurée (était forcée en violet, une couleur non prévue par la maquette), font-weight 800 restauré (était 750), justify-self:end ajouté pour l'alignement dans la grille"
08.05,08 - Livres (books-grid),Grille livres — conteneur (books-grid),.books-grid,.v2-books-grid,CONFORME,"BUG RACINE IDENTIFIÉ ET CORRIGÉ : .v2-book-cover (élément wrapper du composant CoverRollover, en position:absolute sans contenu de flux) n'avait aucune hauteur propre, causant l'effondrement de toute la grille (696→331px). Un aspect-ratio explicite (.665, auto pour la carte principale) restaure une hauteur définie sans dépendre du survol — hauteur de grille 696px identique à la maquette"
08.06,08 - Livres (books-grid),Carte livre 1 — conteneur,article.book-card.book-main,article carte livre équivalente,CONFORME,re-vérifié directement
08.07,08 - Livres (books-grid),Carte livre 1 — lien couverture,a.book-cover,lien couverture équivalent,CONFORME,re-vérifié directement
08.08,08 - Livres (books-grid),Carte livre 1 — image couverture,a.book-cover img,img couverture (CoverRollover),CONFORME,"corrigé : object-fit:cover restauré (était contain par défaut du composant CoverRollover partagé — surchargé localement par spécificité sans toucher au composant ni à /livres, hors de ce lot) ; dimensions couverture principale 256×694 identiques à la maquette"
08.09,08 - Livres (books-grid),Carte livre 1 — badge « Nouveauté »,.book-info span,.v2-book-info span,CONFORME,corrigé : font-family Inter hérité
08.10,08 - Livres (books-grid),Carte livre 1 — titre « Tu deviens ce que tu connais »,.book-info h3,.v2-book-info h3,CONFORME,"corrigé : font-size 35px restauré (était 32px), letter-spacing fantôme retiré ; padding de la carte principale restauré (46px 34px, était 40px 32px)"
08.11,08 - Livres (books-grid),Carte livre 1 — description,.book-info p,.v2-book-info p,CONFORME,"re-vérifié directement : couleur, police, taille identiques après corrections de la carte principale"
08.12,08 - Livres (books-grid),Carte livre 1 — lien « Découvrir » + flèche,".book-info a, .book-info b",lien équivalent,CONFORME,"re-vérifié directement : couleur blanche, poids 800 identiques (l'écart du référentiel initial était un artefact d'appariement automatique)"
08.13,08 - Livres (books-grid),Carte livre 2 — conteneur,article.book-card,article carte livre équivalente,CONFORME,re-vérifié directement
08.14,08 - Livres (books-grid),Carte livre 2 — lien couverture,a.book-cover,lien couverture équivalent,CONFORME,re-vérifié directement
08.15,08 - Livres (books-grid),Carte livre 2 — image couverture,a.book-cover img,img couverture (CoverRollover),CONTRÔLE MANUEL REQUIS,"object-fit:cover corrigé (était contain), mais la hauteur de couverture (326×490, ratio .665 fixe) reproduit un rapport largeur/hauteur cohérent et non déformé sans répliquer à l'identique un comportement de remplissage total observé dans la maquette (326×694, aspect-ratio ignoré de fait par le moteur de rendu sur un <a> resté display:inline) — mécanisme non reproductible à l'identique avec le wrapper CoverRollover (images en position:absolute, sans contenu de flux) sans casser le calcul de hauteur de la carte principale (testé, régression constatée puis annulée). Écart mineur, assumé, à valider visuellement par Serge."
08.16,08 - Livres (books-grid),Carte livre 2 — badge « Nouveauté »,.book-info span,.v2-book-info span,CONFORME,corrigé : font-family Inter hérité
08.17,08 - Livres (books-grid),Carte livre 2 — titre « Manifester ce que Dieu a prévu »,.book-info h3,.v2-book-info h3,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée (héritage local, ancien --ink), font-size 26px restauré (était 24px), letter-spacing fantôme retiré"
08.18,08 - Livres (books-grid),Carte livre 2 — lien « Découvrir » + flèche,".book-info a, .book-info b",lien équivalent,CONFORME,re-vérifié directement
08.19,08 - Livres (books-grid),Carte livre 3 — conteneur,article.book-card,article carte livre équivalente,CONFORME,re-vérifié directement
08.20,08 - Livres (books-grid),Carte livre 3 — lien couverture,a.book-cover,lien couverture équivalent,CONFORME,re-vérifié directement
08.21,08 - Livres (books-grid),Carte livre 3 — image couverture,a.book-cover img,img couverture (CoverRollover),CONTRÔLE MANUEL REQUIS,"même écart mineur assumé que 08.15 (voir note) — object-fit:cover corrigé, ratio fixe .665 au lieu du remplissage total quirky de la maquette"
08.22,08 - Livres (books-grid),Carte livre 3 — titre « Les hauts lieux dans le culte moderne »,.book-info h3,.v2-book-info h3,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée, font-size 26px restauré (était 24px), letter-spacing fantôme retiré"
08.23,08 - Livres (books-grid),Carte livre 3 — lien « Découvrir » + flèche,".book-info a, .book-info b",lien équivalent,CONFORME,re-vérifié directement
09.01,09 - Soutenir (support-orb / support-copy / support-points),Halo décoratif (support-orb),.support-orb,.v2-support-orb,CONFORME,"re-vérifié directement : dimensions 640×640, border 1px, box-shadow, border-radius 50% identiques"
09.02,09 - Soutenir (support-orb / support-copy / support-points),Grille support — conteneur (support-grid),.support-grid,.v2-support-grid,CONFORME,"corrigé : font-family Inter + line-height 1.6 ajoutés sur .v2-support-section (hérités) — hauteur 448px identique désormais (l'écart initial provenait des paragraphes/eyebrow enfants, résolu à la racine)"
09.03,09 - Soutenir (support-orb / support-copy / support-points),Bloc support-copy — conteneur,.support-copy,.v2-support-copy,CONFORME,"re-vérifié : conteneur identique, largeur 594px"
09.04,09 - Soutenir (support-orb / support-copy / support-points),Eyebrow « Soutenir »,.support-copy .eyebrow.light,.v2-eyebrow.light,CONFORME,corrigé : line-height 20.8px hérité de .v2-support-section — hauteur 21px identique désormais
09.05,09 - Soutenir (support-orb / support-copy / support-points),H2 « Associez-vous à cette œuvre... »,.support-copy h2,.v2-support-copy h2,CONFORME,re-vérifié directement : Georgia/64px/500/lineHeight 67.84px/letterSpacing -2.24px/594×204 identiques
09.06,09 - Soutenir (support-orb / support-copy / support-points),Paragraphe support-copy,.support-copy p,.v2-support-copy p,CONFORME,"corrigé : font-family Inter + line-height 27.2px hérités — hauteur 82px identique désormais (le statut initial provenait d'une troncature de comparaison, résolu par mesure directe)"
09.07,09 - Soutenir (support-orb / support-copy / support-points),Bouton « Devenir semeur de la Parole » + flèche,.support-copy .button-light,.v2-support-copy .v2-button-light,CONFORME,"re-vérifié directement : couleur rgb(79,37,216), fond blanc, font-weight 750 identiques ; line-height 22.4px hérité — hauteur 55px identique désormais (l'écart du référentiel initial — couleur rgb(215,201,255), font-weight 600 — était un artefact d'appariement automatique, ne correspondait pas à cet élément)"
09.08,09 - Soutenir (support-orb / support-copy / support-points),Bloc support-points — conteneur,.support-points,.v2-support-points,CONFORME,"re-vérifié : conteneur identique, largeur 486px"
09.09,09 - Soutenir (support-orb / support-copy / support-points),Point 01 — numéro,.support-points div:nth-child(1) b,b équivalent,CONFORME,"corrigé : contenu textuel « I » remplacé par « 01 » (écart structurel de contenu, pas seulement CSS) — Georgia/22px/700/lineHeight 35.2px identiques"
09.10,09 - Soutenir (support-orb / support-copy / support-points),Point 01 — titre « Un ministère libre »,.support-points strong,strong équivalent,CONFORME,corrigé : font-family Inter hérité de .v2-support-section (au lieu de Manrope)
09.11,09 - Soutenir (support-orb / support-copy / support-points),Point 01 — description,.support-points span,span équivalent,CONFORME,corrigé : font-family Inter hérité
09.12,09 - Soutenir (support-orb / support-copy / support-points),Point 02 — numéro,.support-points div:nth-child(2) b,b équivalent,CONFORME,corrigé : contenu textuel « II » remplacé par « 02 »
09.13,09 - Soutenir (support-orb / support-copy / support-points),Point 02 — titre « Une Parole accessible »,.support-points strong,strong équivalent,CONFORME,corrigé : font-family Inter hérité
09.14,09 - Soutenir (support-orb / support-copy / support-points),Point 02 — description,.support-points span,span équivalent,CONFORME,corrigé : font-family Inter hérité
09.15,09 - Soutenir (support-orb / support-copy / support-points),Point 03 — numéro,.support-points div:nth-child(3) b,b équivalent,CONFORME,corrigé : contenu textuel « III » remplacé par « 03 »
09.16,09 - Soutenir (support-orb / support-copy / support-points),Point 03 — titre « Une œuvre en mouvement »,.support-points strong,strong équivalent,CONFORME,corrigé : font-family Inter hérité
09.17,09 - Soutenir (support-orb / support-copy / support-points),Point 03 — description,.support-points span,span équivalent,CONFORME,corrigé : font-family Inter hérité
10.01,10 - Communauté / Réseaux sociaux,Bloc community-title — conteneur,.community-title,.v2-community-title,CONFORME,corrigé : font-family Inter + line-height 1.6 + couleur var(--v2-ink) ajoutés sur .v2-community-section (l'ancien --ink hérité du body différait légèrement de --v2-ink) — hauteur 221px identique désormais
10.02,10 - Communauté / Réseaux sociaux,Eyebrow « Rester connecté »,.community-title .eyebrow,.v2-eyebrow,CONFORME,re-vérifié directement : line-height 20.8px hérité — hauteur 21px identique
10.03,10 - Communauté / Réseaux sociaux,H2 « La Parole continue au fil de la semaine. »,.community-title h2,.v2-community-title h2,CONFORME,"re-vérifié directement : Georgia/55.04px/500/lineHeight 58.34px/letterSpacing -1.93px/couleur rgb(23,20,45)/432×175 identiques"
10.04,10 - Communauté / Réseaux sociaux,Liste réseaux sociaux — conteneur (social-list),.social-list,.v2-social-list,CONFORME,"re-vérifié : grid 2×324px, dimensions 648×245 identiques"
10.05,10 - Communauté / Réseaux sociaux,Réseau « YouTube » — icône,.social-list span,span icône équivalent,CONFORME,"re-vérifié directement : fond rgb(238,232,255), couleur rgb(79,37,216), font-weight 800, border-radius 50%, 42×42 identiques — seul l'écart réel était le font-family (Manrope→Inter), corrigé par héritage ; les autres écarts du référentiel initial (background/margin/box-shadow/padding) étaient des artefacts d'appariement automatique"
10.06,10 - Communauté / Réseaux sociaux,Réseau « YouTube » — nom,.social-list strong,strong équivalent,CONFORME,corrigé : font-family Inter hérité de .v2-community-section
10.07,10 - Communauté / Réseaux sociaux,Réseau « YouTube » — identifiant,.social-list small,small équivalent,CONFORME,corrigé : font-family Inter hérité
10.08,10 - Communauté / Réseaux sociaux,Réseau « YouTube » — flèche,.social-list b,b équivalent,CONFORME,"re-vérifié directement : couleur rgb(79,37,216), font-weight 700, line-height 25.6px identiques — l'écart du référentiel initial était un artefact d'appariement (élément confondu avec la flèche du ticker du header)"
10.09,10 - Communauté / Réseaux sociaux,Réseau « Instagram » — icône,.social-list span,span icône équivalent,CONFORME,corrigé : font-family Inter hérité
10.10,10 - Communauté / Réseaux sociaux,Réseau « Instagram » — nom,.social-list strong,strong équivalent,CONFORME,corrigé : font-family Inter hérité
10.11,10 - Communauté / Réseaux sociaux,Réseau « Instagram » — identifiant,.social-list small,small équivalent,CONFORME,corrigé : font-family Inter hérité
10.12,10 - Communauté / Réseaux sociaux,Réseau « Instagram » — flèche,.social-list b,b équivalent,CONFORME,re-vérifié directement : identique (voir 10.08)
10.13,10 - Communauté / Réseaux sociaux,Réseau « TikTok » — icône,.social-list span,span icône équivalent,CONFORME,corrigé : font-family Inter hérité
10.14,10 - Communauté / Réseaux sociaux,Réseau « TikTok » — nom,.social-list strong,strong équivalent,CONFORME,corrigé : font-family Inter hérité
10.15,10 - Communauté / Réseaux sociaux,Réseau « TikTok » — identifiant,.social-list small,small équivalent,CONFORME,corrigé : font-family Inter hérité
10.16,10 - Communauté / Réseaux sociaux,Réseau « TikTok » — flèche,.social-list b,b équivalent,CONFORME,re-vérifié directement : identique (voir 10.08)
10.17,10 - Communauté / Réseaux sociaux,Réseau « Facebook » — icône,.social-list span,span icône équivalent,CONFORME,corrigé : font-family Inter hérité
10.18,10 - Communauté / Réseaux sociaux,Réseau « Facebook » — nom,.social-list strong,strong équivalent,CONFORME,corrigé : font-family Inter hérité
10.19,10 - Communauté / Réseaux sociaux,Réseau « Facebook » — identifiant,.social-list small,small équivalent,CONFORME,corrigé : font-family Inter hérité
10.20,10 - Communauté / Réseaux sociaux,Réseau « Facebook » — flèche,.social-list b,b équivalent,CONFORME,re-vérifié directement : identique (voir 10.08)
11.01,11 - Newsletter,Conteneur newsletter-inner — layout,.newsletter-inner,.v2-newsletter-inner,CONFORME,"conteneur re-vérifié : .newsletter-inner utilise désormais v2-wrap (au lieu de l'ancienne classe wrap non préfixée) — grid-template-columns 589.188px/500.812px identique à la maquette, largeur 1180px identique (corrige un bug où max-width:none annulait la contrainte de largeur et l'ancienne classe wrap non-v2 ajoutait un padding parasite)"
11.02,11 - Newsletter,Eyebrow « Newsletter »,.newsletter .eyebrow.light,.v2-eyebrow.light,CONFORME,re-vérifié directement : Inter/13px/780/lineHeight 20.8px/letterSpacing 2.34px/589×21 identiques
11.03,11 - Newsletter,H2 « ParoleDeViePourVous »,.newsletter h2,.v2-newsletter h2,CONFORME,corrigé : largeur 589px identique (conséquence de la correction du conteneur) ; texte-align start=left non compté comme écart (rendu identique) ; lineHeight/letterSpacing/couleur/dimensions tous identiques après correction
